,college_names,college_cities,college_fees
0,IIT Hyderabad,"Hyderabad, Telangana
Public
3.8 
 # 12 NIRF",8 Courses
1,University of Hyderabad (UOH),"Hyderabad, Telangana
Public
3.8 
 # 25 NIRF","IIT JAM
                                                 ,                                                                                                 JEE Main"
2,NIT Warangal,"Warangal, Telangana
Public
4 
 # 53 NIRF",₹15 K-9.60 L
3,Osmania University,"Hyderabad, Telangana
Public/Government
3.5 
 # 70 NIRF","NAAC                                                 ,                                                                                                  NBA"
4,IPE Hyderabad,"Hyderabad, Telangana
Private
4",15 Courses
5,"Administrative Staff College of India (ASCI PGDHM), Hyderabad","Hyderabad, Telangana",CAT
6,IPE Hyderabad,"Hyderabad, Telangana
Private
4",₹5 K-4.18 L
7,Anurag University,"Hyderabad, Telangana
Private
3.7",-/-
8,SIBM Hyderabad,"Hyderabad, Telangana
Private
4.4",-/-
9,National Institute of Agricultural Extension Management,"Hyderabad, Telangana
Public
4.1",6 Courses
10,NMIMS Mumbai,"Mumbai, Maharashtra
Private
3.8 
# 84 NIRF","CAT
                                                 ,                                                                                                 IIT JAM"
11,Presidency University,"Bangalore, Karnataka
Private
3.9",₹30 K-5 L
12,IIIT Hyderabad,"Hyderabad, Telangana
Autonomous
4.3",-/-
13,Institute of Aeronautical Engineering,"Hyderabad, Telangana
Private
3.8",-/-
14,VNR VJIET,"Hyderabad, Telangana
Private
3.9",38 Courses
15,IMT Hyderabad,"Hyderabad, Telangana
Public
4.5","GATE
                                                 ,                                                                                                 TS EAMCET"
16,Malla Reddy University Powered by Emversity,"Hyderabad, Telangana",₹2 K-3.45 L
17,Vignan Online,"Guntur, Andhra Pradesh","NAAC-A                                                 ,                                                                                                  NIRF"
18,"Aurora's Business School, Aurora Group of Institutions","Hyderabad, Telangana
Private
3.1",
19,IFHE Hyderabad,"Hyderabad, Telangana
Private
4.2","ATMA

                                                                                                         ,                                                                                                                                                                                                 CAT"
20,ICBM - School of Business Excellence,"Hyderabad, Telangana
Private",-/-
21,ICFAI Law School,"Hyderabad, Telangana
Private",-/-
22,Malla Reddy College of Engineering and Technology,"Hyderabad, Telangana
Private
3.7",-/-
23,CMR College of Engineering and Technology,"Hyderabad, Telangana
Private
3.1",
24,Woxsen School of Business,"Hyderabad, Telangana
Private
4.7",-/-
25,JNTUH,"Hyderabad, Telangana
Public
3.8",-/-
26,Vidya Jyothi Institute of Technology,"Hyderabad, Telangana
Private
3.5",-/-
27,Muffakham Jah College of Engineering and Technology,"Hyderabad, Telangana
Private
3.9",-/-
28,Vardhaman College of Engineering,"Hyderabad, Telangana
Private
4.2",-/-
29,Holy Mary Institute of Technology & Science,"Hyderabad, Telangana
Private
3.1",
30,Osmania Medical College,"Hyderabad, Telangana
Public
3.3","ATMA
                                                 ,                                                                                                 CAT"
31,St. Joseph College Hyderabad,"Hyderabad, Telangana
Private
3.6",-/-
32,IIRM - Institute of Insurance and Risk Management,"Hyderabad, Telangana
Public
4",-/-
